         3185453 function calls in 1.118 seconds

   Ordered by: internal time
   List reduced from 38 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.243    0.243    1.108    1.108 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:394(decode_huffman_block)
   148271    0.143    0.000    0.465    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:224(find_next_symbol)
        1    0.113    0.113    0.187    0.187 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:306(bwt_reverse)
   341601    0.100    0.000    0.221    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:112(snoopbits)
    92803    0.092    0.000    0.092    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:288(move_to_front)
   766811    0.087    0.000    0.087    0.000 {method 'append' of 'list' objects}
   156708    0.081    0.000    0.109    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:117(readbits)
   674570    0.056    0.000    0.056    0.000 {built-in method builtins.len}
   655017    0.055    0.000    0.055    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:54(_mask)
    67562    0.029    0.000    0.077    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:106(_more)
        1    0.028    0.028    0.042    0.042 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:292(bwt_transform)
    67562    0.027    0.000    0.041    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:43(_read)
    67526    0.017    0.000    0.094    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_baseline.py:50(needbits)
        2    0.012    0.006    0.012    0.006 {method 'join' of 'bytes' objects}
        1    0.012    0.012    0.012    0.012 {built-in method builtins.sorted}


