         582604 function calls in 0.370 seconds

   Ordered by: internal time
   List reduced from 23 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.187    0.187    0.370    0.370 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_optimized.py:215(decode_huffman_block)
        1    0.106    0.106    0.106    0.106 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_optimized.py:99(bwt_reverse)
   383311    0.041    0.000    0.041    0.000 {method 'append' of 'bytearray' objects}
    91439    0.016    0.000    0.016    0.000 {method 'insert' of 'list' objects}
    91439    0.014    0.000    0.014    0.000 {method 'pop' of 'list' objects}
        1    0.002    0.002    0.004    0.004 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_optimized.py:182(compute_selectors_list)
     8437    0.002    0.000    0.002    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_optimized.py:149(readbits)
     4976    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        6    0.001    0.000    0.001    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_optimized.py:56(build_decode_tables)
        1    0.000    0.000    0.002    0.002 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_optimized.py:200(compute_tables)
     2968    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.370    0.370 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_optimized.py:314(bzip2_main)
        1    0.000    0.000    0.000    0.000 C:\Users\ta112\Downloads\hwsw-project\benchmarks\pyflate\pyflate_optimized.py:169(compute_used)
        1    0.000    0.000    0.370    0.370 C:\Users\ta112\Downloads\hwsw-project\tools\cprofile_report.py:65(run_optimized)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


