         3185454 function calls in 2.215 seconds

   Ordered by: internal time
   List reduced from 39 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.493    0.493    2.193    2.193 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:394(decode_huffman_block)
   148271    0.335    0.000    1.065    0.000 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:224(find_next_symbol)
   341601    0.225    0.000    0.489    0.000 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:112(snoopbits)
    92803    0.223    0.000    0.223    0.000 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:288(move_to_front)
   156708    0.194    0.000    0.258    0.000 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:117(readbits)
        1    0.136    0.136    0.272    0.272 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:306(bwt_reverse)
   655017    0.131    0.000    0.131    0.000 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:54(_mask)
        1    0.080    0.080    0.105    0.105 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:292(bwt_transform)
   766811    0.074    0.000    0.074    0.000 {method 'append' of 'list' objects}
    67562    0.073    0.000    0.159    0.000 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:106(_more)
   674570    0.069    0.000    0.069    0.000 {built-in method builtins.len}
    67562    0.055    0.000    0.076    0.000 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:43(_read)
    67526    0.039    0.000    0.198    0.000 /root/hwsw/benchmarks/pyflate/pyflate_baseline.py:50(needbits)
        2    0.029    0.014    0.029    0.014 {method 'join' of 'bytes' objects}
        1    0.024    0.024    0.024    0.024 {built-in method builtins.sorted}


